party,state,name,keycode,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore
Democratic,Texas,Colin Allred,DB2r5RPij2H,2024-11-02,1614,44,0.21604914008437245,-0.09762618748812371,2024-11-09,71168,1614.0,0.02267873201438849,0.08795583896425438,0.0006182553956834532,-0.22313132556464313,1.1002172313017322,0.023296987410071943,0.10763597335785727
Democratic,Texas,Colin Allred,DB2cAJYJFfK,2024-11-02,617,18,-0.44010934597229345,-0.5331891778197523,2024-11-09,71168,617.0,0.008669626798561151,-0.5371014681019782,0.0002529226618705036,-0.6326176065214875,1.1002172313017322,0.008922549460431655,-0.8846421380262137
Democratic,Texas,Colin Allred,DB2G0RJS9F-,2024-11-01,654,16,-0.41575842923799394,-0.5666940232298776,2024-11-08,71236,654.0,0.009180751305519682,-0.5142961494914714,0.00022460553652647538,-0.6643570956811197,1.1072808890586867,0.009405356842046157,-0.8872657897158024
Democratic,Texas,Colin Allred,DB1cFGRxjMG,2024-11-01,1171,31,-0.0755037278425112,-0.315407682653938,2024-11-08,71236,1171.0,0.016438317704531417,-0.19047854377490653,0.00043517322702004606,-0.4283405209549384,1.1072808890586867,0.016873490931551462,-0.3530372594335732
Democratic,Texas,Colin Allred,DBz449Kvmw0,2024-11-01,626,6,-0.4341861500098963,-0.734218250280504,2024-11-08,71236,626.0,0.008787691616598349,-0.5318336600525233,8.422707619742827e-05,-0.8217014788319074,1.1072808890586867,0.008871918692795777,-1.0552014505404095
Republican,Pennsylvania,Dave McCormick,DB1_7_cSEDQ,2024-11-01,267,15,0.9376305232722926,0.7352213470298039,2024-11-08,3117,267.0,0.08565928777670838,-0.7075981325731456,0.004812319538017324,-0.09208766893980755,1.7493505212720637,0.0904716073147257,0.956270255709336
Republican,Pennsylvania,Dave McCormick,DB1DaJtuGhg,2024-11-01,180,4,0.017209406324540332,-0.27234943585987753,2024-11-08,3117,180.0,0.05774783445620789,-1.0292034291096315,0.0012832852101379532,-0.4844462101837664,1.7493505212720637,0.059031119666345847,-0.14584843142231366
Republican,Pennsylvania,Dave McCormick,DBzvH46twrB,2024-11-01,142,0,-0.38481361027332844,-0.6387388114561252,2024-11-08,3117,142.0,0.04555662495989734,-1.1696747080566021,0.0,-0.6271220433633878,1.7493505212720637,0.04555662495989734,-0.5851042482813357
Republican,Texas,Ted Cruz,DB1psM8JanN,2024-11-01,4323,85,-0.15765263238878985,-0.7941470795934098,2024-11-08,1242196,4323.0,0.003480127129696119,-0.15808308153059167,6.842720472453622e-05,-0.7943515442318301,1.0751670291652127,0.003548554334420655,-0.8852575331678478
Republican,Texas,Ted Cruz,DB0Kh5hgdFN,2024-11-01,8714,414,1.0049477548212171,0.9842817310852915,2024-11-08,1242196,8714.0,0.007014996023171866,1.0042022740118164,0.0003332807383053882,0.9834667159623823,1.0751670291652127,0.0073482767614772545,1.8501585632243556
Republican,Michigan,Mike Rogers,DB1rowdv5zN,2024-11-01,68,5,-0.16479910700634678,-0.17737146568510123,2024-11-08,1507,68.0,0.0451227604512276,-0.5011595785803092,0.0033178500331785005,-0.23889652469294897,1.3527077503922897,0.04844061048440611,-0.2529523266146863
Democratic,Arizona,Ruben Gallego,DB1kKcry-ZK,2024-11-01,386,16,-0.018101165791447726,-0.45056118394348676,2024-11-08,14724,386.0,0.02621570225482206,-0.12944544233857708,0.0010866612333604998,-0.48008414073347744,1.216800149474609,0.02730236348818256,-0.3851596746904526
Democratic,Pennsylvania,Bob Casey,DB1INfzP5Af,2024-11-01,90,3,-0.3202148967859341,-0.44057413221391123,2024-11-08,21400,90.0,0.004205607476635514,-0.32328905233678734,0.00014018691588785047,-0.44586552926478795,1.463208869505782,0.0043457943925233646,-0.5199456105380306
Democratic,Michigan,Elissa Slotkin,DB0Cbk3g7jT,2024-11-01,168,2,-0.2714499047616656,-0.5297929582121029,2024-11-08,21196,168.0,0.007926023778071334,-0.27215954244794816,9.435742592942064e-05,-0.5292081185245873,2.1228827309289904,0.008020381204000756,-0.3774315233244835
Republican,Wisconsin,Eric Hovde,DBz3SxgpwzI,2024-11-01,771,13,1.5150448918069848,-0.803078126495272,2024-11-08,3357,771.0,0.22966934763181412,-0.20827967072817388,0.0038725052129877867,-1.0849349577272285,1.3436685698131179,0.23354185284480192,0.5298678418970056
Democratic,Texas,Colin Allred,DBzlUodAZLV,2024-10-31,547,15,-0.48617864790204934,-0.5834464459349402,2024-11-07,71397,547.0,0.00766138633275908,-0.582087072872613,0.0002100928610445817,-0.6806237505953681,1.124005137571476,0.007871479193803661,-0.9516193993098824
Republican,Michigan,Mike Rogers,DBzHF20vSMb,2024-10-31,61,3,-0.19568055775411552,-0.36970197064484955,2024-11-07,1502,61.0,0.04061251664447404,-0.515399228924105,0.0019973368841544607,-0.25833890575527513,1.3424055047219696,0.0426098535286285,-0.42117119336162395
Republican,Michigan,Mike Rogers,DBy-D_EPvd2,2024-10-31,59,2,-0.20450382939633516,-0.46586722312472373,2024-11-07,1502,59.0,0.039280958721704395,-0.5196031966130266,0.0013315579227696406,-0.26814140433705014,1.3424055047219696,0.04061251664447404,-0.49938044068129905
Republican,Michigan,Mike Rogers,DByjEEsuw6d,2024-10-31,103,4,-0.010391853267503123,-0.2735367181649754,2024-11-07,1502,103.0,0.06857523302263649,-0.42711590745675154,0.002663115845539281,-0.2485364071735001,1.3424055047219696,0.07123834886817576,-0.21150730567905707
Democratic,Wisconsin,Tammy Baldwin,DBzDsJmRSAZ,2024-10-31,263,4,-0.5682987050045781,-0.6960336493439041,2024-11-07,14393,263.0,0.018272771486139094,-0.612352606817079,0.0002779128743139026,-0.6922316185317605,1.1612510152106628,0.018550684360453,-1.0887674910829845
Republican,Pennsylvania,Dave McCormick,DBzBPq1O0mq,2024-10-31,256,6,0.8212554395202779,-0.08915474806175364,2024-11-07,2952,256.0,0.08672086720867209,-0.6953662518432746,0.0020325203252032522,-0.401146142946274,1.5739278295006605,0.08875338753387534,0.4651424784138853
Republican,Arizona,Kari Lake,DBy8pxavAm1,2024-10-31,6408,636,0.2247570225437554,2.6214270197237535,2024-11-07,831200,6408.0,0.007709335899903753,0.2138463264941727,0.0007651588065447545,2.591051864073546,1.6650846886038533,0.008474494706448508,1.7093329016519803
Democratic,Pennsylvania,Bob Casey,DBykayYI-S_,2024-10-31,193,6,-0.2387972369206625,-0.24852899765912942,2024-11-07,21398,193.0,0.009019534535937937,-0.2421687975632823,0.00028040003738667165,-0.2559652020466458,1.4552954387163022,0.00929993457332461,-0.33486412560301587
Republican,Ohio,Bernie Moreno,DByb8DaOLur,2024-10-31,375,19,-0.34664488012467426,-1.691369161170891,2024-11-07,8739,375.0,0.04291108822519739,-0.7953706440851853,0.0021741618034100013,-1.5898604151590023,1.4594102262446536,0.045085250028607395,-1.3964641364339154
Democratic,Pennsylvania,Bob Casey,DBxF1e3MgRB,2024-10-30,534,14,0.030750549623586292,0.26359136115362203,2024-11-06,21386,534.0,0.024969606284485177,0.026608412385829387,0.0006546338726269522,0.25088556205125684,1.407814853979423,0.02562424015711213,0.20907714529733928
Democratic,Pennsylvania,Bob Casey,DBw2UpAhtBY,2024-10-30,6234,47,4.536388037313375,2.3760878412562216,2024-11-06,21386,6234.0,0.2914991115683157,4.5179397323110715,0.0021976994295333395,2.3407659601424675,1.407814853979423,0.29369681099784906,4.910074544980352
Democratic,Pennsylvania,Bob Casey,DBwUqpYoDd8,2024-10-30,76,0,-0.33128137482587394,-0.632619266768693,2024-11-06,21386,76.0,0.0035537267371177407,-0.3342739989344795,0.0,-0.6357303644116811,1.407814853979423,0.0035537267371177407,-0.6846785561822574
Republican,Pennsylvania,Dave McCormick,DBxDKbnuVmb,2024-10-30,469,32,3.0747002430820163,2.292376193313857,2024-11-06,2667,469.0,0.17585301837270342,0.33164483127323785,0.011998500187476566,0.7068729233284157,1.270924998259146,0.18785151856017998,4.222968659635655
Democratic,Michigan,Elissa Slotkin,DBwoTKYA-9z,2024-10-30,258,7,-0.22463764661408347,-0.3791829199243814,2024-11-06,20993,258.0,0.012289810889344067,-0.2251897710937001,0.00033344448149383126,-0.3798884452976681,0.9203107833853404,0.012623255370837898,-0.6561050652012637
Democratic,Michigan,Elissa Slotkin,DBwFm8Yg4vu,2024-10-30,409,18,-0.14609708016647352,-0.047840835691393954,2024-11-06,20993,409.0,0.019482684704425286,-0.14776902854611357,0.0008574286666984233,-0.05263882851636635,0.9203107833853404,0.020340113371123708,-0.21073089586592872
Republican,Michigan,Mike Rogers,DBwhMU0SNvS,2024-10-30,1577,47,6.492359347048369,3.8615691384696142,2024-11-06,1468,1577.0,1.07425068119891,2.7479822368890177,0.03201634877384196,0.18364159910009847,1.2723502341637933,1.106267029972752,8.137640256200944
Republican,Wisconsin,Eric Hovde,DBwZIdwvihr,2024-10-30,318,15,-0.5762547518219074,-0.6920835886869823,2024-11-06,3288,318.0,0.09671532846715329,-1.043107918335379,0.004562043795620438,-1.0273648586032138,1.2721290363092355,0.10127737226277372,-0.9970201955209328
Democratic,Texas,Colin Allred,DBvylfou4Zn,2024-10-30,2869,88,1.0420059103964243,0.6394804115346324,2024-11-06,71293,2869.0,0.040242380037310815,0.8716094960917514,0.0012343427826013774,0.4674154266533178,1.1132018962961339,0.041476722819912194,1.5104953805106958
Democratic,Texas,Colin Allred,DBu6pM7v37r,2024-10-30,5994,241,3.098671175117669,3.2026010854092157,2024-11-06,71293,5994.0,0.08407557544218927,2.8273560379142104,0.003380416029624227,2.8728597552042467,1.1132018962961339,0.0874559914718135,5.660493645845013
Democratic,Pennsylvania,Bob Casey,DBuhE9Wsrlg,2024-10-29,339,5,-0.1233896802184328,-0.3125440425107233,2024-11-05,21355,339.0,0.015874502458440645,-0.12665463677784566,0.00023413720440177945,-0.31862215617446005,1.285156676742485,0.016108639662842424,-0.339206674655519
Democratic,Pennsylvania,Bob Casey,DBuYfLVhtYx,2024-10-29,284,6,-0.16686512966105357,-0.24852899765912942,2024-11-05,21355,284.0,0.013298993210021072,-0.1700549550272853,0.0002809646452821353,-0.2552005145270159,1.285156676742485,0.013579957855303207,-0.3232245023798123
Democratic,Texas,Colin Allred,DBuSQxsgPuc,2024-10-29,447,5,-0.5519919363731292,-0.7509706729855666,2024-11-05,70429,447.0,0.006346817362166153,-0.6407404221088882,7.099348279827911e-05,-0.8365344637882653,1.0234518918548297,0.006417810844964432,-1.2731058682175098
Democratic,Texas,Colin Allred,DBuHdyqOORc,2024-10-29,794,20,-0.32361982537848216,-0.499684332409627,2024-11-05,70429,794.0,0.011273765068366724,-0.4209102032727448,0.00028397393119311646,-0.5978135289859217,1.0234518918548297,0.01155773899955984,-0.8044385518658944
Democratic,Texas,Colin Allred,DBuBCnYPcH0,2024-10-29,1407,31,0.0798156329492372,-0.315407682653938,2024-11-05,70429,1407.0,0.019977566059435743,-0.03256460054491818,0.0004401595933493305,-0.42275151013086987,1.0234518918548297,0.020417725652785074,-0.23019357488091688
Democratic,Texas,Colin Allred,DBtg9W-xRx2,2024-10-29,830,34,-0.29992704152889343,-0.2651504145387501,2024-11-05,70429,830.0,0.011784918144514333,-0.39810360996409594,0.000482755683028298,-0.37500732317040114,1.0234518918548297,0.012267673827542631,-0.5521289867797677
Democratic,Texas,Colin Allred,DBtYGK-vOCN,2024-10-29,503,16,-0.5151364948293244,-0.5666940232298776,2024-11-05,70429,503.0,0.007141944369506879,-0.6052634991843232,0.00022717914495449317,-0.6614724449332133,1.0234518918548297,0.007369123514461373,-1.0570409089757715
Democratic,Texas,Colin Allred,DBsMkvSobf7,2024-10-29,738,46,-0.3604752669222869,-0.06412134207799844,2024-11-05,70429,738.0,0.010478638061025999,-0.45638712619730964,0.0006531400417441679,-0.18403057532852632,1.0234518918548297,0.011131778102770166,-0.4148671885600576
